# 2014.07.05
# S.Rodney 
# Table of HST ACS-WFC Zero points, collected from the web tool :
#    http://www.stsci.edu/hst/acs/analysis/zeropoints/zpt.py
# MJD       FILTER        PHOTPLAM       PHOTFLAM       STMAG       VEGAMAG     ABMAG
52275     F435W         4327.2         3.076e-19      25.180      25.793      25.691
52275     F475W         4745.3         1.786e-19      25.770      26.179      26.081
52275     F502N         5023.0         5.136e-18      22.123      22.394      22.311
52275     F550M         5581.3         3.907e-19      24.920      24.854      24.879
52275     F555W         5360.2         1.928e-19      25.687      25.740      25.733
52275     F606W         5919.4         7.713e-20      26.682      26.426      26.513
52275     F625W         6311.0         1.175e-19      26.225      25.753      25.916
52275     F658N         6584.0         1.954e-18      23.173      22.397      22.772
52275     F660N         6599.4         5.169e-18      22.116      21.431      21.711
52275     F775W         7693.3         9.904e-20      26.410      25.284      25.672
52275     F814W         8059.9         6.940e-20      26.797      25.533      25.957
52275     F850LP        9036.4         1.501e-19      25.959      24.351      24.871
52275     F892N         8914.8         1.484e-18      23.471      21.924      22.413
52640     F435W         4327.2         3.083e-19      25.177      25.790      25.688
52640     F475W         4745.3         1.790e-19      25.768      26.176      26.078
52640     F502N         5023.0         5.148e-18      22.121      22.392      22.308
52640     F550M         5581.3         3.915e-19      24.918      24.852      24.876
52640     F555W         5360.2         1.932e-19      25.685      25.738      25.731
52640     F606W         5919.5         7.729e-20      26.680      26.424      26.510
52640     F625W         6311.1         1.177e-19      26.223      25.751      25.914
52640     F658N         6584.0         1.958e-18      23.171      22.394      22.770
52640     F660N         6599.4         5.179e-18      22.114      21.429      21.709
52640     F775W         7693.4         9.915e-20      26.409      25.283      25.671
52640     F814W         8060.2         6.945e-20      26.796      25.532      25.956
52640     F850LP        9036.5         1.501e-19      25.959      24.351      24.871
52640     F892N         8914.8         1.484e-18      23.471      21.924      22.413
53005     F435W         4327.2         3.092e-19      25.174      25.787      25.685
53005     F475W         4745.3         1.795e-19      25.765      26.173      26.075
53005     F502N         5023.0         5.162e-18      22.118      22.389      22.305
53005     F550M         5581.3         3.926e-19      24.915      24.849      24.873
53005     F555W         5360.2         1.937e-19      25.682      25.735      25.728
53005     F606W         5919.6         7.748e-20      26.677      26.421      26.508
53005     F625W         6311.2         1.180e-19      26.220      25.748      25.911
53005     F658N         6584.0         1.962e-18      23.168      22.392      22.768
53005     F660N         6599.4         5.191e-18      22.112      21.427      21.706
53005     F775W         7693.6         9.929e-20      26.408      25.281      25.669
53005     F814W         8060.6         6.952e-20      26.795      25.531      25.955
53005     F850LP        9036.6         1.502e-19      25.958      24.351      24.870
53005     F892N         8914.8         1.484e-18      23.471      21.923      22.412
53371     F435W         4327.2         3.100e-19      25.172      25.784      25.682
53371     F475W         4745.3         1.800e-19      25.762      26.171      26.073
53371     F502N         5023.0         5.176e-18      22.115      22.386      22.302
53371     F550M         5581.3         3.936e-19      24.912      24.846      24.871
53371     F555W         5360.2         1.942e-19      25.679      25.732      25.725
53371     F606W         5919.7         7.767e-20      26.674      26.418      26.505
53371     F625W         6311.2         1.183e-19      26.217      25.746      25.909
53371     F658N         6584.0         1.967e-18      23.165      22.389      22.765
53371     F660N         6599.4         5.204e-18      22.109      21.424      21.704
53371     F775W         7693.8         9.942e-20      26.406      25.280      25.668
53371     F814W         8061.1         6.958e-20      26.794      25.530      25.954
53371     F850LP        9036.8         1.502e-19      25.958      24.351      24.870
53371     F892N         8914.8         1.485e-18      23.471      21.923      22.412
53736     F435W         4327.3         3.109e-19      25.169      25.781      25.679
53736     F475W         4745.3         1.805e-19      25.759      26.168      26.070
53736     F502N         5023.0         5.190e-18      22.112      22.383      22.299
53736     F550M         5581.3         3.947e-19      24.909      24.843      24.868
53736     F555W         5360.2         1.948e-19      25.676      25.729      25.722
53736     F606W         5919.8         7.787e-20      26.672      26.416      26.502
53736     F625W         6311.3         1.186e-19      26.215      25.743      25.906
53736     F658N         6584.0         1.972e-18      23.163      22.387      22.762
53736     F660N         6599.4         5.216e-18      22.107      21.422      21.701
53736     F775W         7694.0         9.955e-20      26.405      25.278      25.666
53736     F814W         8061.5         6.965e-20      26.793      25.529      25.953
53736     F850LP        9036.9         1.502e-19      25.958      24.350      24.870
53736     F892N         8914.8         1.485e-18      23.471      21.923      22.412
54101     F435W         4328.3         3.191e-19      25.140      25.753      25.650
54101     F475W         4747.0         1.845e-19      25.735      26.143      26.045
54101     F502N         5023.0         5.293e-18      22.091      22.362      22.278
54101     F550M         5581.5         4.011e-19      24.892      24.826      24.850
54101     F555W         5361.0         1.982e-19      25.657      25.709      25.703
54101     F606W         5921.7         7.903e-20      26.655      26.398      26.485
54101     F625W         6311.8         1.202e-19      26.200      25.728      25.891
54101     F658N         6584.0         1.997e-18      23.149      22.373      22.749
54101     F660N         6599.4         5.281e-18      22.093      21.408      21.688
54101     F775W         7693.4         1.010e-19      26.390      25.263      25.651
54101     F814W         8059.0         7.080e-20      26.775      25.512      25.935
54101     F850LP        9033.7         1.538e-19      25.933      24.326      24.845
54101     F892N         8914.8         1.516e-18      23.448      21.900      22.389
54466     F435W         4328.3         3.200e-19      25.137      25.750      25.647
54466     F475W         4747.0         1.850e-19      25.732      26.140      26.042
54466     F502N         5023.0         5.308e-18      22.088      22.359      22.275
54466     F550M         5581.5         4.022e-19      24.889      24.823      24.847
54466     F555W         5361.0         1.987e-19      25.654      25.706      25.700
54466     F606W         5921.8         7.923e-20      26.653      26.396      26.482
54466     F625W         6311.8         1.205e-19      26.198      25.725      25.889
54466     F658N         6584.0         2.001e-18      23.147      22.371      22.746
